============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Podk³adka+Tarcza(  23 um) ================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  175 19 .1518948E+11   2300014E-01 -.1111E+01  .4451E+01   .9999999 -.0001212  .0000380
T  176 19 .1519006E+11   2300010E-01 -.5888E+01 -.4319E+01   .9999999 -.0001580 -.0001957
T  177 19 .1519136E+11   2300016E-01 -.9644E+01  .4702E+01   .9999999 -.0000476  .0000121
T  178 19 .1518992E+11   2300001E-01 -.5821E+01 -.1446E+02   .9999999 -.0001230 -.0002367
T  179 19 .1519042E+11   2300012E-01 -.1364E+02 -.3670E+01   .9999999  .0000047  .0000091
T  180 19 .1518853E+11   2300022E-01  .1245E+01  .7272E+01   .9999999  .0000538  .0001545
T  181 19 .1519011E+11   2300017E-01  .6339E+01  .5711E+01   .9999999  .0000781  .0000708
T  182 19 .1519151E+11   2300010E-01  .8741E+01 -.2442E+02   .9999998  .0002860 -.0005611
T  183 19 .1519032E+11   2300007E-01 -.7675E+01 -.3764E+01   .9999999  .0000141 -.0000080
T  184 19 .1519133E+11   2300019E-01 -.5584E+01 -.5109E+01   .9999999 -.0001351 -.0001028
T  185 19 .1519047E+11   2300013E-01 -.3556E+01 -.1907E+00   .9999999 -.0001419 -.0000498
T  186 19 .1519144E+11   2300003E-01 -.7194E+01  .2556E+02   .9999999 -.0001744  .0003339
T  187 19 .1519035E+11   2300021E-01 -.3577E+01  .1648E+01   .9999999  .0000791  .0000863
T  188 19 .1518891E+11   2300020E-01 -.1240E+01  .1470E+02   .9999999 -.0000100  .0001041
T  189 19 .1519078E+11   2300019E-01  .9824E+01 -.2944E+02   .9999999  .0001130 -.0003776
T  190 19 .1518968E+11   2300019E-01  .9294E+01  .5281E+01   .9999999  .0001023  .0000482
T  191 19 .1518909E+11   2300008E-01  .1348E+02 -.6305E+01   .9999999  .0001385 -.0000850
T  192 19 .1518854E+11   2300002E-01 -.1398E+02  .2307E+02   .9999999 -.0001295  .0001933
T  193 19 .1518986E+11   2300012E-01  .7794E+01 -.8161E+00   .9999999  .0001050  .0000319
T  194 19 .1519101E+11   2300019E-01  .6156E+01 -.1492E+00   .9999999  .0001957  .0000500
T  195 19 .1518975E+11   2300019E-01  .2293E+01  .4043E+01   .9999999  .0000829  .0000919
T  196 19 .1519115E+11   2300011E-01 -.3512E+01  .5744E+01   .9999999  .0001875  .0000320
T  197 19 .1518952E+11   2300006E-01 -.2132E+02  .1617E+02   .9999999 -.0001697  .0002164
T  198 19 .1519116E+11   2300014E-01 -.4945E+01 -.2166E+01   .9999999  .0000110  .0000665
T  199 19 .1519080E+11   2300005E-01  .5196E+01  .7702E+01   .9999999  .0000114  .0001110
T  200 19 .1518902E+11   2300015E-01  .4833E+01 -.1553E+02   .9999999  .0000545 -.0001876
T  201 19 .1519013E+11   2300012E-01  .2602E+02 -.1081E+02   .9999999  .0003463 -.0000036
T  202 19 .1518977E+11   2300009E-01  .2196E+02 -.2577E+02   .9999999  .0003182 -.0003673
T  203 19 .1518908E+11   2300015E-01  .7803E+01  .1043E+02   .9999999  .0000402  .0002582
T  204 19 .1519151E+11   2300011E-01  .4090E+01  .3198E+01   .9999999  .0001583 -.0000151
T  205 19 .1519000E+11   2300006E-01 -.3390E+02  .4599E+01   .9999999 -.0004139  .0001842
T  206 19 .1519062E+11   2300014E-01  .1627E+01 -.5898E+01   .9999999  .0002969  .0001027
T  207 19 .1518943E+11   2300005E-01 -.1189E+02  .8167E+01   .9999999 -.0000570  .0000955
T  208 19 .1519032E+11   2300020E-01 -.8980E+01  .1900E+02   .9999999  .0001872  .0002887
T  209 19 .1519025E+11   2300016E-01  .3930E+01 -.1664E+02   .9999999 -.0001405 -.0000610
T  210 19 .1519110E+11   2300019E-01 -.1027E+01 -.4409E+01   .9999999 -.0001658 -.0000164
T  211 19 .1518964E+11   2300014E-01 -.4038E+01  .5680E+00   .9999999 -.0000211  .0000851
T  212 19 .1518989E+11   2300005E-01 -.3215E+01  .3698E+01   .9999999 -.0000461  .0000852
T  213 19 .1519041E+11   2300012E-01 -.3562E-01 -.7903E+01   .9999999  .0000844 -.0000419
T  214 19 .1519070E+11   2300000E-01  .5857E+01  .3085E+00   .9999999 -.0000296 -.0000157
T  215 19 .1518834E+11   2300011E-01 -.1091E+02 -.2560E+01   .9999999 -.0001914 -.0001132
T  216 19 .1518961E+11   2300013E-01 -.7133E+01 -.8389E+01   .9999999 -.0002186 -.0001716
T  217 19 .1519025E+11   2300014E-01  .7006E+01  .1060E+02   .9999999 -.0000510  .0002950
T  218 19 .1518969E+11   2300023E-01 -.2113E+01 -.1885E+01   .9999999  .0000488 -.0001159
T  219 19 .1518971E+11   2300018E-01  .1067E+02  .8056E+01   .9999999  .0002777 -.0001497
T  220 19 .1518985E+11   2300009E-01 -.9945E+01 -.7443E+01   .9999999 -.0000194  .0000359
T  221 19 .1518927E+11   2300021E-01  .4307E+01  .7567E+01   .9999999  .0000745 -.0000239
