============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Tarcza(  11 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  155 19 .1519361E+11   1100016E-01  .5818E+01  .5934E+01   .9999999  .0000684  .0000291
T  156 19 .1519206E+11   1100017E-01  .1652E+02  .2360E+00   .9999999  .0003770  .0000325
T  157 19 .1519199E+11   1100008E-01  .3728E+01 -.2624E+01   .9999999  .0000129 -.0000366
T  158 19 .1519332E+11   1100012E-01  .1373E+02  .1222E+02   .9999999  .0002512  .0002301
T  159 19 .1519372E+11   1100018E-01 -.9657E+01 -.1553E+01   .9999999 -.0000180 -.0000293
T  160 19 .1519218E+11   1100000E-01 -.1266E+01 -.1046E+01   .9999999 -.0000555  .0000775
T  161 19 .1519219E+11   1100010E-01  .9691E+01  .1556E+02   .9999999  .0001688  .0001907
T  162 19 .1519248E+11   1100003E-01  .1584E+01 -.8295E+00   .9999999  .0000011 -.0000909
T  163 19 .1519230E+11   1100007E-01  .1631E+02  .1759E+02   .9999999  .0003439  .0001654
T  164 19 .1519326E+11   1100010E-01  .2413E+02  .4555E+01   .9999999  .0004125 -.0000176
T  165 19 .1519348E+11   1100017E-01 -.7193E+01  .6245E+01   .9999999 -.0000469  .0001182
T  166 19 .1519243E+11   1100004E-01 -.8010E+01  .8256E+01   .9999999 -.0001593  .0000571
T  167 19 .1519293E+11   1100020E-01  .2623E+01  .1113E+02   .9999999  .0001024  .0001918
T  168 19 .1519192E+11   1100008E-01  .1055E+02 -.5780E+01   .9999999  .0001200 -.0000603
