============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Tarcza(  11 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 8542 19 .1519255E+11   1100014E-01 -.5634E+01 -.1203E+02   .9999999  .0000495 -.0001605
T 8543 19 .1519243E+11   1100003E-01 -.1426E+02  .1315E+02   .9999999 -.0002448  .0001924
T 8544 19 .1519189E+11   1100006E-01 -.3636E+01  .5300E+00   .9999999  .0000164  .0000111
T 8545 19 .1519117E+11   1100007E-01 -.4806E+01 -.1312E+01   .9999999 -.0000652  .0000255
T 8546 19 .1519304E+11   1100013E-01  .3724E+01  .1463E+02   .9999999 -.0000620  .0002456
T 8547 19 .1519261E+11   1100021E-01  .1869E+01  .7685E+01   .9999999  .0001513  .0000402
T 8548 19 .1519238E+11   1100020E-01  .6919E+01  .6514E+01   .9999999  .0000700  .0001074
T 8549 19 .1519289E+11   1100019E-01 -.1842E+01  .1507E+02   .9999999 -.0000259  .0002199
T 8550 19 .1519290E+11   1100017E-01 -.1277E+02 -.1032E+02   .9999999 -.0001764 -.0001024
T 8551 19 .1519368E+11   1100002E-01 -.1112E+02  .2254E+01   .9999999 -.0002370 -.0000338
T 8552 19 .1519130E+11   1100021E-01  .8034E+01  .1159E+01   .9999999  .0002819  .0000288
T 8553 19 .1519331E+11   1100018E-01  .9476E+01  .1041E+02   .9999999  .0001650  .0001066
T 8554 19 .1519339E+11   1100003E-01  .4489E+01  .2294E+01   .9999999  .0001644  .0002034
T 8555 19 .1519260E+11   1100006E-01 -.1105E+02 -.7486E+01   .9999999 -.0002289 -.0000615
T 8556 19 .1519168E+11   1100000E-01 -.2106E+01 -.3783E+01   .9999999 -.0000125 -.0000384
T 8557 19 .1519159E+11   1100013E-01  .7777E+01  .2887E+01   .9999999  .0001581  .0000615
T 8558 19 .1519037E+11   1100010E-01  .1058E+02 -.1495E+02   .9999999  .0001379 -.0002409
T 8559 19 .1519314E+11   1100016E-01 -.1842E+00 -.3740E+01   .9999999  .0001175 -.0001037
T 8560 19 .1519287E+11   1100004E-01  .1319E+02  .1548E+02   .9999999  .0001408  .0003616
T 8561 19 .1519291E+11   1100010E-01  .4826E+01 -.1405E+02   .9999999  .0000479 -.0000757
T 8562 19 .1519323E+11   1100014E-01  .1102E+01  .3411E+01   .9999999 -.0000035 -.0000225
T 8563 19 .1519177E+11   1100018E-01 -.7846E+01  .3064E+01   .9999999 -.0000319  .0000221
T 8564 19 .1519143E+11   1100019E-01 -.6013E+01 -.5053E+00   .9999999 -.0000350  .0000277
T 8565 19 .1519208E+11   1100022E-01  .5776E+01  .5035E+02   .9999999 -.0000420  .0005058
T 8566 19 .1519244E+11   1100014E-01 -.9054E+01  .1289E+02   .9999999 -.0001147  .0001350
T 8567 19 .1519194E+11   1100007E-01  .8086E+01  .1191E+02   .9999999  .0001023  .0002069
T 8568 19 .1519302E+11   1100001E-01  .6638E+01 -.2694E+01   .9999999  .0000322 -.0000577
T 8569 19 .1519290E+11   1100020E-01 -.1215E+02 -.6512E+01   .9999999 -.0001609 -.0001456
T 8570 19 .1519205E+11   1100011E-01 -.1884E+01 -.3203E+01   .9999999 -.0001981 -.0001652
T 8571 19 .1519190E+11   1100011E-01  .5941E+01  .3667E+01   .9999999 -.0000085  .0000951
T 8572 19 .1519272E+11   1100016E-01 -.6982E+01 -.1487E+02   .9999999 -.0001474 -.0001921
T 8573 19 .1519229E+11   1100004E-01 -.1622E+00 -.2024E+02   .9999999 -.0000221 -.0001606
T 8574 19 .1519322E+11   1100019E-01  .6564E+01  .6187E+00   .9999999  .0000750  .0000758
T 8575 19 .1519280E+11   1100018E-01 -.1038E+01  .1712E+01   .9999999  .0000013  .0000106
T 8576 19 .1519313E+11   1100020E-01  .5318E+01 -.6947E-01   .9999999  .0002038 -.0001032
T 8577 19 .1519125E+11   1100022E-01  .5693E+01 -.4505E+01   .9999999  .0001180 -.0000648
T 8578 19 .1519113E+11   1100013E-01  .7665E+01 -.7243E+01   .9999999  .0002155 -.0000738
T 8579 19 .1519382E+11   1100022E-01  .9487E+01 -.1779E+01   .9999999  .0002060 -.0002616
T 8580 19 .1519334E+11   1100019E-01 -.2039E+01  .1207E+02   .9999999 -.0000713  .0001092
T 8581 19 .1519171E+11   1100022E-01 -.6952E+01 -.2284E+00   .9999999 -.0000859  .0001056
T 8582 19 .1519169E+11   1100023E-01 -.2837E+01  .4220E+01   .9999999 -.0000229  .0000716
T 8583 19 .1519261E+11   1100012E-01 -.5186E+01  .2060E+02   .9999999 -.0001247  .0004229
T 8584 19 .1519271E+11   1100002E-01 -.4737E+01  .2548E+01   .9999999 -.0001017  .0000434
T 8585 19 .1519230E+11   1100011E-01 -.5537E+01 -.6826E+01   .9999999 -.0001191 -.0001066
T 8586 19 .1519178E+11   1100013E-01  .3037E+00  .1688E+01   .9999999 -.0000679  .0000524
T 8587 19 .1519136E+11   1100013E-01  .7601E+01 -.3415E+00   .9999999  .0002090  .0001192
T 8588 19 .1519257E+11   1100009E-01  .1286E+03 -.7669E+02   .9999949  .0027287 -.0016343
T 8589 19 .1519197E+11   1100001E-01 -.2257E+01  .8189E+01   .9999999 -.0001564  .0000781
T 8590 19 .1519312E+11   1100013E-01  .4383E+01  .1272E+02   .9999999 -.0000787  .0002904
T 8591 19 .1519328E+11   1100014E-01  .9077E+01 -.6737E+01   .9999999  .0001382 -.0001474
T 8592 19 .1519099E+11   1100005E-01  .1880E+02 -.1011E+02   .9999999  .0002248 -.0000052
T 8593 19 .1519172E+11   1100020E-01 -.6557E+00 -.3072E+00   .9999999 -.0001094  .0000027
T 8594 19 .1519381E+11   1100019E-01 -.7622E+00  .2635E+01   .9999999 -.0001054  .0000958
T 8595 19 .1519329E+11   1100012E-01  .2720E+02  .5943E+01   .9999999  .0003359  .0001163
T 8596 19 .1519259E+11   1100014E-01 -.1334E+02  .5471E+01   .9999999 -.0001272  .0000651
T 8597 19 .1519173E+11   1100001E-01  .2711E+01  .4420E+00   .9999999 -.0000923  .0000155
T 8598 19 .1519316E+11   1100010E-01 -.1751E+02 -.5171E+01   .9999999 -.0004692 -.0001912
T 8599 19 .1519390E+11   1100001E-01  .1042E+02  .9650E+01   .9999999  .0001033  .0001620
T 8600 19 .1519229E+11   1100016E-01 -.2592E+01 -.5490E+01   .9999999 -.0000544 -.0000611
T 8601 19 .1519280E+11   1100020E-01  .8856E+01 -.8549E+01   .9999999  .0001287 -.0001959
T 8602 19 .1519288E+11   1100018E-01 -.1787E+01 -.2756E+01   .9999999 -.0000192 -.0000757
T 8603 19 .1519309E+11   1100010E-01  .7941E+01 -.1845E+01   .9999999  .0000543 -.0000230
T 8604 19 .1519316E+11   1100011E-01 -.3192E+01  .6415E+01   .9999999 -.0000692  .0000350
T 8605 19 .1519332E+11   1100015E-01  .9040E+01 -.4355E+01   .9999999  .0001873 -.0001345
T 8606 19 .1519374E+11   1100003E-01 -.2289E+01  .2492E+01   .9999999 -.0001118  .0000378
T 8607 19 .1519229E+11   1100016E-01  .7657E+01  .7219E+01   .9999999  .0001542  .0001733
T 8608 19 .1519290E+11   1100014E-01 -.1125E+01  .5041E+01   .9999999 -.0000345  .0001086
T 8609 19 .1519212E+11   1100010E-01 -.2608E+01  .1971E+01   .9999999 -.0000786 -.0001879
T 8610 19 .1519154E+11   1100012E-01  .4025E+01 -.1644E+02   .9999999  .0001579 -.0001682
T 8611 19 .1519146E+11   1100008E-01  .4365E+01  .1468E+01   .9999999  .0000869  .0000675
T 8612 19 .1519349E+11   1100018E-01 -.1357E+02  .1719E+02   .9999999 -.0001741  .0003263
T 8613 19 .1519298E+11   1100010E-01 -.4609E+01 -.7568E+01   .9999999 -.0001594 -.0000644
T 8614 19 .1519116E+11   1100012E-01 -.6984E+01  .1150E+02   .9999999 -.0000636  .0002933
T 8615 19 .1519249E+11   1100019E-01 -.2247E+02 -.2367E+02   .9999999 -.0004003 -.0003170
T 8616 19 .1519416E+11   1100004E-01  .7525E+01  .6449E+01   .9999999  .0000701  .0002881
T 8617 19 .1519172E+11   1100016E-01  .9102E+01  .1497E+01   .9999999  .0001447 -.0000358
T 8618 19 .1519265E+11   1100007E-01  .2284E+02  .2448E+02   .9999998  .0004168  .0004878
T 8619 19 .1519263E+11   1100022E-01  .2220E+01  .2685E+01   .9999999  .0000873 -.0000010
T 8620 19 .1519297E+11   1100019E-01 -.3145E+01  .5901E+01   .9999999 -.0000906  .0000331
T 8621 19 .1519362E+11   1100016E-01 -.2024E+02 -.1182E+01   .9999999 -.0002758 -.0000242
T 8622 19 .1519310E+11   1100002E-01 -.4912E+01 -.1054E+01   .9999999 -.0001800 -.0000079
T 8623 19 .1519196E+11   1100019E-01  .4087E+01  .8324E+01   .9999999 -.0000129  .0001359
T 8624 19 .1519299E+11   1100008E-01 -.1577E+02  .3409E+01   .9999999 -.0003001 -.0000033
T 8625 19 .1519220E+11   1100007E-01  .3008E+01 -.9303E+00   .9999999  .0000671  .0000103
T 8626 19 .1519270E+11   1100007E-01 -.4065E+01 -.3233E+01   .9999999 -.0001848 -.0000750
T 8627 19 .1519229E+11   1100017E-01 -.7258E+01 -.4798E+01   .9999999 -.0000623 -.0000825
T 8628 19 .1519293E+11   1100016E-01 -.6055E+01 -.2353E+00   .9999999 -.0001494 -.0001801
T 8629 19 .1519271E+11   1100019E-01 -.9062E+00  .8984E+01   .9999999 -.0001001  .0001236
T 8630 19 .1519306E+11   1100017E-01 -.4925E+01  .2874E+01   .9999999 -.0001500  .0000456
T 8631 19 .1519291E+11   1100015E-01 -.9418E+01  .2249E+01   .9999999 -.0002458 -.0000151
T 8632 19 .1519305E+11   1100019E-01 -.7172E+01 -.1316E+02   .9999999 -.0000328 -.0001941
T 8633 19 .1519351E+11   1100018E-01 -.1708E+02  .5586E+01   .9999999 -.0002110 -.0000802
T 8634 19 .1519318E+11   1100021E-01 -.5674E+01  .2359E+01   .9999999 -.0001163  .0000079
T 8635 19 .1519273E+11   1100018E-01  .5242E+01  .2424E+01   .9999999  .0001804 -.0000125
T 8636 19 .1519282E+11   1100006E-01  .1328E+02 -.3928E+01   .9999999  .0001874 -.0000122
T 8637 19 .1519345E+11   1100001E-01  .8485E+01  .1645E+02   .9999999  .0001636  .0002022
T 8638 19 .1519366E+11   1100020E-01  .4251E+01 -.1083E+02   .9999999 -.0000079 -.0001953
T 8639 19 .1519188E+11   1100000E-01  .5489E+01  .2455E+01   .9999999  .0000692  .0000295
T 8640 19 .1519170E+11   1100012E-01  .6395E+01 -.1257E+01   .9999999  .0000866 -.0000501
T 8641 19 .1519100E+11   1100004E-01  .7345E+01  .1747E+01   .9999999  .0001474 -.0000501
T 8642 19 .1519207E+11   1100009E-01  .1729E+01 -.6474E+01   .9999999 -.0000240 -.0001505
T 8643 19 .1519156E+11   1100016E-01  .1428E+02  .4838E+01   .9999999  .0002449  .0000488
T 8644 19 .1519329E+11   1100019E-01 -.1158E+02  .8147E+01   .9999999 -.0003782  .0001003
T 8645 19 .1519352E+11   1100001E-01 -.9888E+00  .6634E-01   .9999999 -.0001116  .0000872
T 8646 19 .1519308E+11   1100015E-01 -.3982E+01 -.7388E+01   .9999999  .0000478 -.0000248
T 8647 19 .1519341E+11   1100010E-01 -.9758E+00 -.7726E+01   .9999999 -.0000435 -.0001435
T 8648 19 .1519305E+11   1100007E-01  .3802E+01  .8591E+01   .9999999  .0000846  .0001564
T 8649 19 .1519287E+11   1100016E-01  .1373E+02  .8245E+00   .9999999  .0001418 -.0000215
T 8650 19 .1519423E+11   1100021E-01  .1130E+01 -.2490E+01   .9999999  .0001952 -.0000957
T 8651 19 .1519273E+11   1100000E-01 -.2004E+02 -.9295E+01   .9999998 -.0005674 -.0002204
T 8652 19 .1519137E+11   1100006E-01  .2815E+00  .2086E+02   .9999999  .0000563  .0003175
T 8653 19 .1519127E+11   1100012E-01 -.1990E+01 -.5902E+01   .9999999 -.0001157 -.0001685
T 8654 19 .1519293E+11   1100006E-01 -.1482E+02 -.7521E+01   .9999999 -.0001489 -.0001815
T 8655 19 .1519223E+11   1100015E-01 -.1398E+01 -.4756E+01   .9999999 -.0000040 -.0000195
T 8656 19 .1519298E+11   1100005E-01 -.2628E+01 -.5033E-01   .9999999 -.0000898 -.0000362
T 8657 19 .1519190E+11   1100006E-01  .1630E+02 -.1090E+01   .9999999  .0001566  .0000733
T 8658 19 .1519226E+11   1100012E-01 -.9556E+01  .9550E+01   .9999999 -.0002774  .0002032
T 8659 19 .1519117E+11   1100003E-01 -.2533E+01 -.2448E+02   .9999999 -.0002111 -.0004722
T 8660 19 .1519216E+11   1100015E-01 -.3863E+01 -.3372E+01   .9999999 -.0000765 -.0000718
T 8661 19 .1519247E+11   1100021E-01  .2018E+01 -.1044E+02   .9999999  .0001047 -.0001178
T 8662 19 .1519228E+11   1100012E-01 -.5096E+01  .1871E+01   .9999999 -.0000974 -.0000732
T 8663 19 .1519370E+11   1100005E-01 -.1755E+01  .5863E+01   .9999999 -.0000509  .0002297
T 8664 19 .1519268E+11   1100003E-01  .3555E+01  .1146E+02   .9999999 -.0000828  .0000899
T 8665 19 .1519256E+11   1100022E-01 -.2246E+02 -.1014E+02   .9999999 -.0002291 -.0001453
T 8666 19 .1519321E+11   1100000E-01 -.3021E+01 -.9106E+01   .9999999 -.0000515 -.0001016
T 8667 19 .1519286E+11   1100012E-01  .2822E+02 -.5220E+01   .9999999  .0003879  .0000195
T 8668 19 .1519282E+11   1100020E-01  .1212E+02 -.1693E+02   .9999998  .0002784 -.0004805
T 8669 19 .1519250E+11   1100003E-01 -.1657E+01  .5273E+01   .9999999  .0000586  .0002017
T 8670 19 .1519305E+11   1100003E-01  .3249E+02 -.1366E+02   .9999998  .0005852 -.0001226
T 8671 19 .1519285E+11   1100005E-01  .7880E+01  .2601E+01   .9999999  .0001333 -.0000150
T 8672 19 .1519296E+11   1100004E-01 -.8899E+01 -.5979E+01   .9999999 -.0002187 -.0002100
T 8673 19 .1519309E+11   1100019E-01  .1673E+01 -.1274E+02   .9999999  .0000603 -.0002293
T 8674 19 .1519344E+11   1100001E-01  .4493E+01 -.1041E+02   .9999999  .0000212 -.0001639
T 8675 19 .1519175E+11   1100022E-01 -.1168E+01  .4348E+01   .9999999  .0000156  .0001144
T 8676 19 .1519409E+11   1100007E-01  .1948E+00 -.3325E+01   .9999999  .0000581 -.0001257
T 8677 19 .1519257E+11   1100007E-01  .1177E+02  .1106E+02   .9999999  .0001778  .0001353
T 8678 19 .1519271E+11   1100012E-01  .5369E+01 -.5351E+00   .9999999  .0001277 -.0000963
T 8679 19 .1519274E+11   1100001E-01 -.6015E+01 -.3332E+01   .9999999 -.0001290 -.0000600
T 8680 19 .1519259E+11   1100016E-01  .4932E+01 -.9449E+01   .9999999  .0001089 -.0000394
T 8681 19 .1519251E+11   1100018E-01  .1007E+02 -.9829E+01   .9999999  .0001371 -.0002021
T 8682 19 .1519316E+11   1100017E-01 -.4575E+01  .5966E+01   .9999999 -.0000202  .0000290
T 8683 19 .1519264E+11   1100017E-01  .2895E+01 -.8134E+01   .9999999 -.0000402 -.0000872
T 8684 19 .1519277E+11   1100017E-01  .3339E+01 -.4043E+01   .9999999  .0001748  .0000020
T 8685 19 .1519284E+11   1100012E-01 -.1401E+02  .1504E+02   .9999999 -.0003643  .0003261
T 8686 19 .1519217E+11   1100014E-01 -.7149E+01  .1067E+02   .9999999 -.0002020  .0001682
T 8687 19 .1519248E+11   1100012E-01  .6509E+01 -.2229E+00   .9999999  .0001864  .0000798
T 8688 19 .1519320E+11   1100018E-01 -.3756E+01 -.8281E+01   .9999999 -.0000746 -.0001421
T 8689 19 .1519307E+11   1100023E-01  .1211E+02  .6837E+01   .9999999  .0003364  .0000465
T 8690 19 .1519202E+11   1100015E-01 -.7011E+01 -.1390E+01   .9999999 -.0000486 -.0001414
T 8691 19 .1519411E+11   1100000E-01 -.2871E+00  .2618E+02   .9999999  .0000763  .0004546
T 8692 19 .1519139E+11   1100005E-01 -.1266E+02  .7474E+01   .9999999 -.0002209  .0001131
T 8693 19 .1519081E+11   1100015E-01  .4927E+01 -.6710E+01   .9999999  .0001706 -.0000986
T 8694 19 .1519292E+11   1100008E-01  .8394E+01  .4421E+01   .9999999  .0001247  .0000104
T 8695 19 .1519277E+11   1100022E-01 -.7839E+01 -.5509E+02   .9999999 -.0000619 -.0004957
T 8696 19 .1519324E+11   1100021E-01  .6145E+01 -.4994E+01   .9999999  .0000939 -.0000911
T 8697 19 .1519245E+11   1100013E-01  .1157E+02  .1615E+02   .9999999  .0001360  .0002309
T 8698 19 .1519142E+11   1100003E-01  .4332E+01  .3813E+01   .9999999  .0000643  .0000550
T 8699 19 .1519401E+11   1100016E-01 -.3528E+01 -.2195E+01   .9999999  .0000084  .0001086
T 8700 19 .1519392E+11   1100004E-01 -.6191E+01 -.1175E+02   .9999999 -.0001693 -.0000785
T 8701 19 .1519199E+11   1100021E-01 -.6759E+01  .5981E+01   .9999999 -.0000863  .0000746
T 8702 19 .1519298E+11   1100013E-01  .1864E+02  .4489E+01   .9999999  .0002789 -.0000385
T 8703 19 .1519244E+11   1100023E-01  .1988E+01  .7062E+01   .9999999  .0001607  .0001671
T 8704 19 .1519334E+11   1100016E-01 -.1236E+02 -.2005E+01   .9999999 -.0003670 -.0000750
T 8705 19 .1519399E+11   1100020E-01  .9914E+01  .2482E+01   .9999999  .0001782 -.0000053
T 8706 19 .1519271E+11   1100008E-01  .7231E+01  .8021E+01   .9999999  .0000909  .0000478
T 8707 19 .1519181E+11   1100021E-01  .3861E+01  .1286E+02   .9999999 -.0000359  .0002095
T 8708 19 .1519236E+11   1100016E-01  .4910E+01 -.5227E+01   .9999999  .0001644 -.0000165
T 8709 19 .1519217E+11   1100021E-01 -.5528E+01 -.8878E+01   .9999999 -.0000016 -.0001056
T 8710 19 .1519403E+11   1100008E-01  .4519E+00 -.6801E+01   .9999999  .0001313 -.0001365
T 8711 19 .1519155E+11   1100019E-01  .1369E+02  .2031E+02   .9999999  .0002893  .0002399
T 8712 19 .1519059E+11   1100021E-01  .3519E+01  .4967E+01   .9999999  .0000473  .0000864
T 8713 19 .1519324E+11   1100017E-01 -.3930E+01  .7306E+01   .9999999 -.0001081  .0000051
T 8714 19 .1519129E+11   1100005E-01 -.2729E+01 -.1862E+02   .9999999 -.0001296 -.0002787
T 8715 19 .1519308E+11   1100015E-01  .7511E+01  .2485E+01   .9999999  .0001117  .0000350
T 8716 19 .1519231E+11   1100008E-01 -.3636E+01 -.5562E+01   .9999999 -.0000557 -.0000214
T 8717 19 .1519340E+11   1100018E-01 -.2520E+01  .6901E+01   .9999999 -.0000436  .0002643
T 8718 19 .1519280E+11   1100007E-01  .3275E+01  .7935E+01   .9999999  .0001361  .0002083
T 8719 19 .1519134E+11   1100006E-01 -.1112E+02  .9948E+01   .9999999 -.0002124  .0001443
T 8720 19 .1519296E+11   1100015E-01  .2476E+02 -.2016E+02   .9999990  .0010782 -.0009293
T 8721 19 .1519330E+11   1100010E-01  .2898E+00 -.1878E+01   .9999999 -.0000722  .0001020
T 8722 19 .1519278E+11   1100019E-01 -.9207E+01  .5331E+01   .9999999 -.0000787  .0000856
T 8723 19 .1519308E+11   1100005E-01 -.1068E+02 -.1700E+01   .9999999 -.0000633 -.0000100
T 8724 19 .1519264E+11   1100008E-01  .6183E+01 -.8002E+01   .9999999  .0001587 -.0000620
T 8725 19 .1519219E+11   1100015E-01  .1817E+02 -.7026E+01   .9999999  .0003410 -.0001312
T 8726 19 .1519419E+11   1100012E-01  .1195E+02  .4916E+01   .9999999  .0001945 -.0000107
T 8727 19 .1519277E+11   1100022E-01 -.7214E+01  .3096E+01   .9999999 -.0000551 -.0000183
T 8728 19 .1519263E+11   1100002E-01 -.1113E+02  .2040E+01   .9999999 -.0000882 -.0000365
T 8729 19 .1519193E+11   1100009E-01  .8449E+01  .6143E+00   .9999999  .0001264  .0000456
T 8730 19 .1519244E+11   1100014E-01  .1448E+01 -.3993E+00   .9999999  .0000818  .0000219
T 8731 19 .1519304E+11   1100020E-01 -.5393E+01 -.2286E+01   .9999999 -.0000719 -.0001571
T 8732 19 .1519278E+11   1100008E-01 -.8287E+01  .9060E+01   .9999999 -.0000911  .0001195
T 8733 19 .1519085E+11   1100013E-01 -.1352E+02 -.1729E+01   .9999999 -.0001587 -.0000571
T 8734 19 .1519165E+11   1100020E-01 -.4468E+01 -.3932E+01   .9999999 -.0000889 -.0000582
T 8735 19 .1519242E+11   1100007E-01 -.3335E+01  .6770E+00   .9999999  .0000346  .0000519
T 8736 19 .1519325E+11   1100019E-01  .1693E+01 -.2197E+02   .9999999  .0000460 -.0002949
T 8737 19 .1519423E+11   1100019E-01 -.5127E+02  .3392E+02   .9999998 -.0005650  .0004060
T 8738 19 .1519224E+11   1100013E-01  .1735E+01  .3267E+01   .9999999 -.0000037  .0000191
T 8739 19 .1519289E+11   1100020E-01 -.2890E+00 -.6794E+01   .9999999 -.0000593 -.0001062
T 8740 19 .1519339E+11   1100001E-01 -.1343E+02 -.1452E+02   .9999999 -.0000396 -.0002068
T 8741 19 .1519223E+11   1100022E-01 -.3731E+01 -.1754E+01   .9999999 -.0000005  .0000712
T 8742 19 .1519197E+11   1100007E-01 -.6248E+01 -.6539E+01   .9999999  .0001160 -.0000667
T 8743 19 .1519254E+11   1100013E-01  .1075E+02 -.1174E+02   .9999999  .0001172 -.0001666
T 8744 19 .1519330E+11   1100013E-01  .4069E+01  .1526E+02   .9999999  .0000359  .0003097
T 8745 19 .1519359E+11   1100014E-01 -.3020E+01  .1101E+01   .9999999 -.0001092  .0000658
T 8746 19 .1519182E+11   1100001E-01 -.1010E+02 -.1916E+01   .9999999 -.0001308 -.0000674
T 8747 19 .1519222E+11   1100007E-01 -.3163E+01  .3256E+01   .9999999  .0000205  .0001057
T 8748 19 .1519468E+11   1100007E-01 -.1519E+02 -.3872E+01   .9999999 -.0002190  .0000979
T 8749 19 .1519292E+11   1100020E-01  .1879E+02  .5473E+00   .9999998  .0004231 -.0003505
T 8750 19 .1519271E+11   1100015E-01  .8317E+01  .8626E+00   .9999999  .0001261 -.0000965
T 8751 19 .1519204E+11   1100021E-01 -.3398E+01 -.1252E+02   .9999999  .0000013 -.0002043
T 8752 19 .1519247E+11   1100000E-01 -.2827E+02 -.7666E+01   .9999999 -.0003323 -.0001132
T 8753 19 .1519336E+11   1100016E-01  .1002E+02 -.4293E+01   .9999999  .0000488 -.0000661
T 8754 19 .1519199E+11   1100009E-01  .2476E+02  .1153E+01   .9999999  .0004272 -.0001943
T 8755 19 .1519253E+11   1100012E-01 -.2456E+01  .1184E+02   .9999999 -.0000111  .0001568
T 8756 19 .1519233E+11   1100021E-01 -.2650E+01 -.5697E+01   .9999999 -.0000952 -.0001814
T 8757 19 .1519262E+11   1100018E-01  .3986E+01  .1163E+02   .9999999  .0001390  .0001055
T 8758 19 .1519293E+11   1100022E-01 -.1725E+01  .5600E+01   .9999999 -.0001556  .0002405
T 8759 19 .1519209E+11   1100007E-01  .9045E+01  .8825E+01   .9999999  .0000596  .0002758
T 8760 19 .1519427E+11   1100019E-01 -.8146E+00  .6018E+01   .9999999 -.0000634  .0000474
T 8761 19 .1519149E+11   1100020E-01  .1542E+01 -.6256E+00   .9999999 -.0000798 -.0001425
T 8762 19 .1519254E+11   1100021E-01  .6653E+00  .5448E+01   .9999999  .0002459  .0001519
T 8763 19 .1519162E+11   1100021E-01  .1838E+02 -.5712E+02   .9999997  .0002353 -.0007727
T 8764 19 .1519247E+11   1100019E-01 -.1300E+02  .2808E+00   .9999999 -.0000650 -.0001066
T 8765 19 .1519354E+11   1100020E-01 -.5425E+01  .1080E+01   .9999999  .0000158 -.0000362
T 8766 19 .1519267E+11   1100018E-01  .7721E+01  .1366E+02   .9999999  .0001143  .0002544
T 8767 19 .1519243E+11   1100001E-01 -.2210E+01 -.6150E+01   .9999999 -.0000411 -.0000638
T 8768 19 .1519176E+11   1100020E-01 -.1885E+02  .1905E+02   .9999998 -.0003463  .0004734
T 8769 19 .1519385E+11   1100004E-01 -.4029E+00 -.3282E+01   .9999999 -.0000601 -.0001757
T 8770 19 .1519126E+11   1100015E-01  .5161E+01  .2826E+01   .9999999  .0000614  .0001233
T 8771 19 .1519186E+11   1100002E-01 -.3645E+01 -.4871E+01   .9999999 -.0000653 -.0001405
T 8772 19 .1519293E+11   1100010E-01  .2450E+01 -.6866E+01   .9999999 -.0000395  .0000352
T 8773 19 .1519341E+11   1100013E-01 -.7610E+01  .7738E+00   .9999999 -.0000430  .0000706
T 8774 19 .1519369E+11   1100016E-01 -.4475E+01  .1770E+02   .9999999 -.0000690  .0001267
T 8775 19 .1519296E+11   1100022E-01 -.1012E+02 -.4465E+01   .9999999 -.0002169 -.0000340
T 8776 19 .1519264E+11   1100016E-01  .7377E+01  .1563E+02   .9999999  .0001761  .0001769
T 8777 19 .1519197E+11   1100010E-01 -.1498E+01 -.1297E+02   .9999999 -.0000514 -.0001833
T 8778 19 .1519284E+11   1100006E-01  .6152E+01  .4601E+01   .9999999  .0000053 -.0000133
T 8779 19 .1519265E+11   1100022E-01  .8626E+01 -.2922E+01   .9999999  .0000794 -.0000213
T 8780 19 .1519195E+11   1100012E-01  .1245E+02  .3702E+02   .9999998  .0002548  .0005598
T 8781 19 .1519137E+11   1100021E-01 -.2622E+02 -.6023E+00   .9999999 -.0002023  .0000246
T 8782 19 .1519164E+11   1100007E-01 -.8358E+01 -.1183E+02   .9999999 -.0001964 -.0002396
T 8783 19 .1519209E+11   1100019E-01 -.1729E+02  .9158E+01   .9999999 -.0002991  .0002071
T 8784 19 .1519228E+11   1100005E-01  .1222E+02  .4480E+01   .9999999  .0002958 -.0000173
T 8785 19 .1519380E+11   1100002E-01  .3876E+01  .2754E+01   .9999999 -.0000491  .0000367
T 8786 19 .1519221E+11   1100004E-01 -.9324E+01  .7332E+01   .9999999 -.0000433  .0001442
T 8787 19 .1519207E+11   1100016E-01 -.2022E+01 -.4467E+01   .9999999 -.0000415 -.0000308
T 8788 19 .1519299E+11   1100018E-01  .2894E+02 -.1009E+02   .9999999  .0001478  .0000678
T 8789 19 .1519289E+11   1100009E-01  .4405E+01 -.3085E+01   .9999999  .0000745 -.0000334
T 8790 19 .1519170E+11   1100014E-01  .1039E+02 -.1506E+02   .9999999  .0002473 -.0002411
T 8791 19 .1519319E+11   1100002E-01  .4709E+01 -.1287E+02   .9999999 -.0000278 -.0001464
T 8792 19 .1519229E+11   1100020E-01  .3368E+01  .2847E+01   .9999999  .0001080  .0001151
T 8793 19 .1519388E+11   1100014E-01  .1456E+02  .5982E+01   .9999999  .0001766  .0001267
T 8794 19 .1519378E+11   1100010E-01  .7570E+01 -.3846E+01   .9999999 -.0000007 -.0001490
T 8795 19 .1519108E+11   1100019E-01  .2259E+02 -.2467E+02   .9999999  .0002967 -.0002900
T 8796 19 .1519246E+11   1100007E-01  .1444E+02  .1475E+01   .9999999  .0002398  .0000728
T 8797 19 .1519367E+11   1100005E-01  .1388E+02 -.9566E+01   .9999999  .0002133 -.0001169
